id,title,release_date,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,runtime,vote_average,vote_count,popularity,budget,revenue,tagline,director,producer_1,producer_2,producer_3,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,overview,original_language,homepage,backdrop_path,poster_path,collection_name,keywords,adult_content
496243,Parasite,2019-05-30,Comedy,Thriller,Drama,,,,133,8.501,18797,5.759,11363000,257591776,Act like you own the place.,Bong Joon Ho,Jang Young-hwan,Kwak Sin-ae,Moon Yang-kwon,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam,Lee Jung-eun,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",ko,https://www.parasite-movie.com/,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,,"dark comedy, private lessons, birthday party, con artist, working class, psychological thriller, class differences, housekeeper, tutor, family, crime family, unemployed, wealthy family, south korea, relaxed, seoul, south korea, bewildered",False
680,Pulp Fiction,1994-09-10,Thriller,Crime,,,,,154,8.489,28436,6.351,8000000,213928762,You won't know the facts until you've seen the fiction.,Quentin Tarantino,Lawrence Bender,,,John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",en,https://www.miramax.com/movie/pulp-fiction/,/suaEOtk1N1sgg2MTM7oZd2cfVp3.jpg,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,,"drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, philosophical, grand",False
372058,Your Name.,2016-08-26,Animation,Romance,Drama,,,,106,8.485,11650,4.704,0,358000000,"Separated by distance, connected by fate.",Makoto Shinkai,Genki Kawamura,Katsuhiro Takei,Koichiro Ito,Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita,Aoi Yuki,Nobunaga Shimazaki,Kaito Ishikawa,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",ja,https://www.funimationfilms.com/movie/yourname/,/8x9iKH8kWA0zdkgNdpAew7OstYe.jpg,/q719jXXEzOoYaps6babgKnONONX.jpg,,"high school, race against time, dreams, afterlife, natural disaster, supernatural, time travel, comet, romance, tragedy, school, body-swap, high school student, nonlinear timeline, star crossed lovers, anime, japanese high school, admiring, compassionate",False
122,The Lord of the Rings: The Return of the King,2003-12-17,Adventure,Fantasy,Action,,,,201,8.48,24802,5.988,94000000,1118888979,There can be no triumph without loss. No victory without suffering. No freedom without sacrifice.,Peter Jackson,Barrie M. Osborne,Peter Jackson,Fran Walsh,Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis,Dominic Monaghan,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",en,http://www.lordoftherings.net,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,The Lord of the Rings Collection,"army, based on novel or book, orcs, elves, dwarf, magic, kingdom, obsession, bravery, castle, volcano, giant spider, sequel, honor, king, brutality, madness, split personality, fantasy world, wizard, epic battle, journey, ring, quest, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, power madness, great war, trekking, good versus evil, sword making, war, creatures, epic quest, winged creatures, hobbits, armies, spirits, army of the dead",False
13,Forrest Gump,1994-06-23,Comedy,Drama,Romance,,,,142,8.468,27965,5.537,55000000,677387716,The world will never be the same once you've seen it through the eyes of Forrest Gump.,Robert Zemeckis,Wendy Finerman,Steve Tisch,Steve Starkey,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Mykelti Williamson,Michael Conner Humphreys,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",en,https://www.paramountmovies.com/movies/forrest-gump,/mzfx54nfDPTUXZOG48u4LaEheDy.jpg,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,,"new year's eve, vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, chameleon, single mother, military, anti war protest, 1960s, college american football, mother son relationship, america, feel-good",False
429,"The Good, the Bad and the Ugly",1966-12-22,Western,,,,,,161,8.462,8863,5.674,1200000,38900000,For three men the Civil War wasn't hell. It was practice.,Sergio Leone,Alberto Grimaldi,,,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli,Rada Rassimov,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",it,"http://www.mgm.com/#/our-titles/766/The-Good,-the-Bad-and-the-Ugly",/x4biAVdPVCghBlsVIzB6NmbghIz.jpg,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,,"gold, army, bounty hunter, hitman, refugee, anti hero, moral ambiguity, gallows, outlaw, gun battle, shootout, spaghetti western, graveyard, american civil war, stolen gold, complex, hidden gold, gun death, cemetary, confederate gold",False
346,Seven Samurai,1954-04-26,Action,Drama,,,,,207,8.5,3824,4.574,2000000,105000000,Unmatched for suspense and spectacle!,Akira Kurosawa,Sōjirō Motoki,,,Toshirō Mifune,Takashi Shimura,Yoshio Inaba,Seiji Miyaguchi,Minoru Chiaki,Daisuke Katō,"A samurai answers a village's request for protection after he falls on hard times. The town needs protection from bandits, so the samurai gathers six others to help him teach the people how to defend themselves, and the villagers provide the soldiers with food.",ja,,/sJNNMCc6B7KZIY3LH3JMYJJNH5j.jpg,/8OKmBV5BUFzmozIC3pPWKHy17kx.jpg,,"epic, martial arts, japan, samurai, sword, peasant, village, looting, rice, fencing, moral ambiguity, black and white, battle, bandit, practice, criterion, jidaigeki, 16th century, plunder, bushi",False
769,GoodFellas,1990-09-12,Drama,Crime,,,,,145,8.5,13182,5.593,25000000,46800000,Three decades of life in the mafia.,Martin Scorsese,Irwin Winkler,Luke Mendes,,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,"The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",en,http://www.warnerbros.com/goodfellas,/7TF4p86ZafnxFuNqWdhpHXFO244.jpg,/aKuFiU82s5ISJpGZp7YkIr3kCUd.jpg,,"prison, florida, new york city, based on novel or book, gangster, mass murder, drug trafficking, 1970s, irish-american, gore, biography, based on true story, murder, organized crime, mafia, brooklyn, new york city, crime epic, tampa, florida",False
157336,Interstellar,2014-11-05,Adventure,Drama,Science Fiction,,,,169,8.452,36721,7.384,165000000,746606706,Mankind was born on Earth. It was never meant to die here.,Christopher Nolan,Lynda Obst,Christopher Nolan,Emma Thomas,Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Casey Affleck,Wes Bentley,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,en,http://www.interstellarmovie.net/,/8sNiAPPYU14PUepFNeSNGUTiHW.jpg,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, hibernation, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, cryonics, father daughter relationship, 2060s, cornfield, time manipulation, amused",False
12477,Grave of the Fireflies,1988-04-16,Animation,Drama,War,,,,89,8.45,5781,0.003,3700000,516962,Why do fireflies have to die so soon?,Isao Takahata,Tooru Hara,,,Tsutomu Tatsumi,Ayano Shiraishi,Yoshiko Shinohara,Akemi Yamaguchi,Masayo Sakai,Kozo Hashida,"In the final months of World War II, 14-year-old Seita and his sister Setsuko are orphaned when their mother is killed during an air raid in Kobe, Japan. After a falling out with their aunt, they move into an abandoned bomb shelter. With no surviving relatives and their emergency rations depleted, Seita and Setsuko struggle to survive.",ja,https://gkids.com/films/grave-of-the-fireflies,/tDFvXn4tane9lUvFAFAUkMylwSr.jpg,/k9tv1rXZbOhH7eiCk378x61kNQ1.jpg,,"sibling relationship, hunger, world war ii, wartime, shelter, adult animation, semi autobiographical, anti war, anime, grim, orphan siblings, children in wartime",False
637,Life Is Beautiful,1997-12-20,Comedy,Drama,,,,,116,8.446,13242,4.837,20000000,230098753,"An unforgettable fable that proves love, family and imagination conquer all.",Roberto Benigni,Gianluigi Braschi,Elda Ferri,,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric,Marisa Paredes,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,it,,/gavyCu1UaTaTNPsVaGXT6pe5u24.jpg,/74hLDKjD5aGYOotO6esUVaeISa2.jpg,,"dying and death, bookshop, love of one's life, nazi, self sacrifice, loss of loved one, italy, riddle, mass murder, concentration camp, fascism, holocaust (shoah), world war ii, deportation, jew persecution, story teller, riding a bicycle, national socialism, dark comedy, charade, concentration camp prisoner, romcom, reflective, dark, war, nazi germany, admiring",False
550,Fight Club,1999-10-15,Drama,,,,,,139,8.438,29978,6.557,63000000,100853753,Mischief. Mayhem. Soap.,David Fincher,Ross Grayson Bell,Ceán Chaffin,Art Linson,Edward Norton,Brad Pitt,Helena Bonham Carter,Meat Loaf,Jared Leto,Zach Grenier,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",en,http://www.foxmovies.com/movies/fight-club,/hZkgoQYus5vegHoetLkCJzb17zJ.jpg,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness",False
11216,Cinema Paradiso,1988-11-17,Drama,Romance,,,,,124,8.4,4477,3.568,5000000,11990401,An enchanted village. A wonderful friendship. Star-crossed lovers. And the magic of the movies.,Giuseppe Tornatore,Franco Cristaldi,Giovanna Romagnoli,,Philippe Noiret,Jacques Perrin,Marco Leonardi,Salvatore Cascio,Agnese Nano,Antonella Attili,"A filmmaker recalls his childhood, when he fell in love with the movies at his village's theater and formed a deep friendship with the theater's projectionist.",it,,/zoVeIgKzGJzpdG6Gwnr7iOYfIMU.jpg,/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,,"parent child relationship, sicily, italy, movie business, kiss, coming of age, flashback, magic realism, haunted by the past, censorship, nuovo cinema paradiso, movie theater, romantic",False
598,City of God,2002-08-30,Drama,Crime,,,,,129,8.4,7546,4.2,3300000,30641770,"If you run, the beast catches you; if you stay, the beast eats you.",Fernando Meirelles,Hank Levine,Juliette Renaud,Mauricio Andrade Ramos,Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen,Matheus Nachtergaele,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",pt,http://cidadededeus.globo.com/,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,,"street gang, photographer, gangster, rio de janeiro, gang war, ghetto, coming of age, introspective, critical, tense, conceited, sincere, based on real events",False
539,Psycho,1960-06-22,Horror,Thriller,Mystery,,,,109,8.423,10256,4.442,806947,50048065,A new and altogether different screen excitement!,Alfred Hitchcock,Alfred Hitchcock,,,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,Martin Balsam,John McIntire,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",en,,/uif5fUshJrXyyDzfpzp1DLw3N0S.jpg,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,Psycho Collection,"hotel, clerk, shower, arizona, motel, halloween, stolen money, taxidermy, money, secretary, psychological thriller, black and white, corpse, murderer, theft, mental illness, private detective, missing person, psycho, voyeurism, voyeur, oedipus complex, double identity, abusive mother, dual personality, proto-slasher, multiple personality disorder, mother son relationship, birds, anxious, dramatic, woman on the run, corruptibility, confused identities, human vulnerabilities, man with female alter ego",False
667257,Impossible Things,2021-06-17,Family,Drama,,,,,88,8.4,398,3.546,0,0,There are encounters that change your life,Ernesto Contreras,Luis Albores,Érika Ávila,Ariel Gordon,Nora Velázquez,Benny Emmanuel,Luisa Huertas,Salvador Garcini,Andrés Delgado,Gabriela Cartol,"After the death of her abusive husband, Matilde finds her new best friend in Miguel, her young, insecure, and disoriented neighbor.",es,,/bxSBOAD8AuMHYMdW3jso9npAkgt.jpg,/t2Ew8NZ8Ci2kqmoecZUNQUFDJnQ.jpg,,,False
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,Adventure,Fantasy,Action,,,,179,8.418,25721,5.973,93000000,871368364,One ring to rule them all.,Peter Jackson,Peter Jackson,Barrie M. Osborne,Tim Sanders,Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Ian Holm,Liv Tyler,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",en,http://www.lordoftherings.net/,/x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,The Lord of the Rings Collection,"based on novel or book, orcs, elves, dwarf, magic, obsession, bravery, fireworks, mine, maze, mountain, castle, birthday party, battle, demon, blizzard, uncle nephew relationship, fantasy world, journey, ring, invisibility, live action and animation, hero's journey, wraith, sword and sorcery, trekking, good versus evil, creatures, epic quest, hobbits, trolls",False
311,Once Upon a Time in America,1984-05-23,Drama,Crime,,,,,229,8.4,5527,5.187,30000000,5500000,"Crime, passion and lust for power.",Sergio Leone,Arnon Milchan,,,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,Tuesday Weld,Joe Pesci,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",en,,/uPYa165sraN2c8gZBM9C47g3JoU.jpg,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,,"epic, new york city, regret, lovesickness, rape, life and death, sexual abuse, street gang, corruption, based on novel or book, prohibition era, gangster, sadistic, money laundering, opium, mafia boss, murder, memory, jewish american, torture, brooklyn bridge, childhood friends, 1920s, 1960s, 1930s",False
14537,Harakiri,1962-09-15,Action,Drama,History,,,,135,8.414,1045,4.037,0,0,Who can fathom the depths of another man's heart?,Masaki Kobayashi,Tatsuo Hosoya,,,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsuro Tamba,Masao Mishima,Ichirō Nakatani,"Down-on-his-luck veteran Tsugumo Hanshirō enters the courtyard of the prosperous House of Iyi. Unemployed, and with no family, he hopes to find a place to commit seppuku—and a worthy second to deliver the coup de grâce in his suicide ritual. The senior counselor for the Iyi clan questions the ronin’s resolve and integrity, suspecting Hanshirō of seeking charity rather than an honorable end. What follows is a pair of interlocking stories which lay bare the difference between honor and respect, and promises to examine the legendary foundations of the Samurai code.",ja,,/nC3IjYhUgZWgfKfFX0ygMigFwgc.jpg,/w7pWcLaYQkbtRUn99K6ome0DblL.jpg,,"suicide, japan, samurai, asia, flashback, revenge, poverty, seppuku, ronin, jidaigeki, edo period, 17th century, shogunate, complex, bushi, bakumatsu, tense, distressing, excited",False
510,One Flew Over the Cuckoo's Nest,1975-11-19,Drama,,,,,,133,8.4,10653,4.923,3000000,108981275,"If he's crazy, what does that make you?",Miloš Forman,Michael Douglas,Saul Zaentz,,Jack Nicholson,Brad Dourif,Louise Fletcher,Danny DeVito,William Redfield,Scatman Crothers,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",en,,/qUq3QTr2KLvGIcN0GaaaYx9bbyH.jpg,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,,"mentally disabled, friendship, based on novel or book, nurse, lunatic asylum, insane asylum, oregon, usa, hospital, medication, female villain, shock treatment, informative",False
696374,Gabriel's Inferno,2020-05-29,Romance,Drama,,,,,122,8.4,2416,1.752,0,0,,Tosca Musk,Lino Ruggiero,Michael Buttiglieri,,Melanie Zanetti,Giulio Berruti,Kurt McKinney,Agnes Albright,Margaux Brooke,Ned Van Zandt,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",en,https://watch.passionflix.com/watch/fc15dc25-cf48-4d4f-aa8e-9afb032233cc,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,/yXRoyYzIo17HfANn07oXYdyBy4h.jpg,Gabriel's Inferno Collection,,False
40096,A Dog's Will,2000-09-15,Comedy,Drama,Fantasy,,,,104,8.4,1141,3.536,0,4903192,Lying with faith is not always a sin.,Guel Arraes,Guel Arraes,,,Matheus Nachtergaele,Selton Mello,Rogério Cardoso,Denise Fraga,Diogo Vilela,Luís Melo,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",pt,,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,/xWCKF7hgOicb3A0XiY13SdlwRcn.jpg,O Auto da Compadecida: Coleção,,False
